[FAILURE] aggiestack server list
[FAILURE] aggiestack --config hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[FAILURE] line = hdwrConfig[index].split()
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavors-config.txt
[FAILURE] a
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[FAILURE] aggiestack config --flavor flavor-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[FAILURE] aggiestack server show hardware
[FAILURE] adminstack admin show hardware
[SUCCESS] aggiestack admin show hardware
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
[SUCCESS] aggiestack config --flavors flavor-config.txt
[SUCCESS] aggiestack config --hardware hdwr-config.txt
[SUCCESS] aggiestack config --images image-config.txt
